Fecha,TMAX,TMIN,Prec
2026-01-01,33.0,9.0,0.0
2026-01-02,31.0,9.0,0.0
2026-01-03,20.0,10.0,0.0
2026-01-04,26.0,7.0,0.0
2026-01-05,33.0,12.0,0.0
2026-01-06,27.0,15.0,0.0
2026-01-07,34.0,13.0,1.8
2026-01-08,30.0,12.0,0.0
2026-01-09,30.0,12.0,0.0
2026-01-10,38.0,17.0,0.3
2026-01-11,32.0,19.0,0.3
2026-01-12,33.0,21.0,17.5
2026-01-13,40.0,17.0,0.0
2026-01-14,32.0,16.0,0.0
2026-01-15,31.0,10.0,0.0
2026-01-16,39.0,17.0,0.0
2026-01-17,33.0,19.0,10.0
2026-01-18,34.0,17.0,0.0
2026-01-19,36.0,7.0,0.0
2026-01-20,33.0,15.0,0.0
2026-01-21,29.0,11.0,0.0
2026-01-22,35.0,12.0,0.0
2026-01-23,27.0,14.0,0.0
2026-01-24,29.0,15.0,0.0
2026-01-25,35.0,14.0,0.0
2026-01-26,34.0,14.0,0.3
2026-01-27,39.0,11.0,0.0
2026-01-28,37.0,12.0,0.0
2026-01-29,33.0,24.0,0.0
2026-01-30,34.0,21.0,0.1
2026-01-31,37.0,20.0,0.0
2026-02-01,28.0,22.0,0.0
2026-02-02,38.0,20.0,0.3
2026-02-03,31.0,20.0,0.0
2026-02-04,26.0,17.0,2.1
2026-02-05,25.0,16.0,7.4
2026-02-06,27.0,19.0,0.7
2026-02-07,21.0,19.0,5.4
2026-02-08,30.0,15.0,0.0
2026-02-09,23.0,14.0,0.0
2026-02-10,30.0,13.0,0.0
2026-02-11,29.0,19.0,0.3
